Vocabulary,PartOfSpeech,Meaning,Example,Pronounce
constrain,verb,to control and limit something: ,"To the extent that conversations are implicitly expected or planned to co-occur with dinners, coffee breaks, or other scheduled activities, they are also temporally constrained.",https://dictionary.cambridge.org/media/english/us_pron/u/usc/uscon/usconne029.mp3
construct,verb,to build something or put together different parts to form something whole: ,"We constructed the phase diagram, which can include a microphase-separated region and a micro-phase separated glass.",https://dictionary.cambridge.org/media/english/us_pron/c/con/const/construct.mp3
consume,verb,"to use fuel, energy, or time, especially in large amounts: ","They remained with us two or three days, consuming over 60 steers per diem.",https://dictionary.cambridge.org/media/english/us_pron/c/con/consu/consume.mp3
contact,noun,"communication with someone, especially by speaking or writing to them regularly: ",,https://dictionary.cambridge.org/media/english/us_pron/c/con/conta/contact.mp3
context,noun,"the situation within which something exists or happens, and that can help explain it: ","However, this asymmetrical distribution means that the only context that permits comparison among really, very, so and pretty as intensifiers is the predicative adjective context.",https://dictionary.cambridge.org/media/english/us_pron/c/con/conte/context.mp3
contrast,noun,an obvious difference between two or more things: ,"English, by contrast, is a language in which argument omission is not permitted.",https://dictionary.cambridge.org/media/english/us_pron/c/con/contr/contrast_01_00.mp3
contribute,verb,"to give something, especially money, in order to provide or achieve something together with…",They might cite the case of baseball teams that know which of their players have contributed without having to know what they get paid.,https://dictionary.cambridge.org/media/english/us_pron/c/con/contr/contribute.mp3
coordinate,verb,to make many different things work effectively as a whole: ,The coastal plan must clearly be coordinated by the government.,https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus71/eus71006.mp3
core,noun,the basic and most important part of something: ,It permits simulation of the coupled dynamics of valence electrons and ionic cores in a molecule or a material.,https://dictionary.cambridge.org/media/english/us_pron/c/cor/core_/core.mp3
correspond,verb,to match or be similar or equal: ,"As this figure corresponds to the mean effective number of this genotype in each subpopulation, this value may be less than one worm.",https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus71/eus71022.mp3
criteria,noun,"a standard by which you judge, decide about, or deal with something",The Health Service should not be judged by financial criteria alone,
culture,noun,"the way of life, especially the general customs and beliefs, of a particular group of people at…","Naval hierarchy and culture defined policies, procedures, rewards, and sanctions.",https://dictionary.cambridge.org/media/english/us_pron/c/cul/cultu/culture.mp3
data,noun,"information, especially facts or numbers, collected to be examined and considered and used to…",,https://dictionary.cambridge.org/media/english/us_pron/d/dat/data_/data.mp3
debate,noun,(a) serious discussion of a subject in which many people take part: ,Politics became inseparably entwined with cultural or intellectual debates from the onset.,https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus75/eus75520.mp3
decline,verb,"to gradually become less, worse, or lower: ","Decline in soil organic carbon and total nitrogen in relation to tillage, stubble management and rotation.",https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus75/eus75524.mp3
deduce,verb,to reach an answer or a decision by thinking carefully about the known facts: ,But it would prove impossible to deduce a physical theory from such purely formal theorems.,https://dictionary.cambridge.org/media/english/us_pron/d/ded/deduc/deduce.mp3
demonstrate,verb,to show or make something clear: ,"Asymmetrically, however, if it is demonstrated that religion is not truth-oriented, then there is a strong argument for its being false.",https://dictionary.cambridge.org/media/english/us_pron/d/dem/demon/demonstrate.mp3
derive,verb,to get something from something else: ,Viable offspring derived from fetal and adult mammalian cells.,https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus71/eus71239.mp3
despite,preposition,without taking any notice of or being influenced by; not prevented by: ,"Despite this, there are striking analogies between the philosophical responses to the problem of underdetermination in the two contexts.",https://dictionary.cambridge.org/media/english/us_pron/d/des/despi/despite.mp3
discrete,adjective,clearly separate or different in shape or form: ,"She takes the broadest of views, including any discrete carbonate structure with topographic relief formed by in situ or bound organic components.",https://dictionary.cambridge.org/media/english/us_pron/d/dis/discr/discreet.mp3
distinct,adjective,clearly noticeable; that certainly exists: ,"Our method incorporates sequential statistical tests, with each step focusing on a distinct property of conserved sequence templates.",https://dictionary.cambridge.org/media/english/us_pron/d/dis/disti/distinct.mp3
distribute,verb,"to give something out to several people, or to spread or supply something: ",Mutations are assumed to be independent and identically distributed across players.,https://dictionary.cambridge.org/media/english/us_pron/d/dis/distr/distribute.mp3
diverse,adjective,including many different types of people or things: ,"For those with a more quantitative inclination, diverse data on physical and psychological health and life satisfaction are reported.",https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus71/eus71337.mp3
element,noun,a part of something: ,The city itself is a dominant element within literature and film.,https://dictionary.cambridge.org/media/english/us_pron/e/ele/eleme/element.mp3
emerge,verb,to appear by coming out of something or out from behind something: ,A behavioral analysis of emerging social status in boys' groups.,https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus71/eus71511.mp3
emphasize,verb,to show that something is very important or worth giving attention to: ,"We emphasize the need to assume uniformity of extended preferences among individual observers; otherwise, the ordinary utilitarian formula cannot be derived.",https://dictionary.cambridge.org/media/english/us_pron/e/emp/empha/emphasize.mp3
enable,verb,"to make someone able to do something, or to make something possible: ",Mercantilist economic doctrines too enabled the condemnation of the 'indolent' including 'savages'.,https://dictionary.cambridge.org/media/english/us_pron/e/ena/enabl/enable.mp3
enforce,verb,"to make people obey a law, or to make a particular situation happen or be accepted: ",The agreement was too indefinite to be enforced - how long was the loan supposed to run?,https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus71/eus71545.mp3
entity,noun,"something that exists apart from other things, having its own independent existence:  2…",Figure 1a shows distributed representations for these entities.,https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus71/eus71579.mp3
equivalent,adjective,"having the same amount, value, purpose, qualities, etc.: ",They should not exceed in size the equivalent of one page of print.,https://dictionary.cambridge.org/media/english/us_pron/e/equ/equiv/equivalent.mp3
establish,verb,to start a company or organization that will continue for a long time: ,"Although establishing new schools is not permitted, there is always a loophole that can be exploited.",https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus71/eus71656.mp3
estimate,verb,"to guess or calculate the cost, size, value, etc. of something: ","At national level, the incidence was estimated at 9.4/100 000 inhabitants.",https://dictionary.cambridge.org/media/english/us_pron/e/est/estim/estimate_estimate.mp3
evaluate,verb,"to judge or calculate the quality, importance, amount, or value of something: ",First we set out the benefits of such a system and evaluate its compatibility with psychological constraints.,https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus71/eus71671.mp3
evident,adjective,easily seen or understood: ,The answer is not evident out of his short comment.,https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus75/eus75718.mp3
exclude,verb,to prevent someone or something from entering a place or taking part in an activity: ,"Where the second accent is not downstepped, the material marked by the first accent is understood as given and is thus excluded from the focus.",https://dictionary.cambridge.org/media/english/us_pron/e/exc/exclu/exclude.mp3
expand,verb,"to increase in size, number, or importance, or to make something increase in this way: ","Various representations thus coexisted in the early modern period, only to expand as time passed.",https://dictionary.cambridge.org/media/english/us_pron/e/exp/expan/expand.mp3
expose,verb,to remove what is covering something so that it can be seen: ,There was evidence that patients were exposed to the planned intervention.,https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus71/eus71722.mp3
external,adjective,"of, on, for, or coming from the outside: ","Thus, for an intensive cropping system, external sources of decomposed organic matter addition would be a better option.",https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus71/eus71733.mp3
facilitate,verb,to make something possible or easier: ,"Coordination problems abound, and their solutions are facilitated when players have the ability to quickly acquire expectations about fellow players' behavior.",https://dictionary.cambridge.org/media/english/us_pron/f/fac/facil/facilitate.mp3
factor,noun,a fact or situation that influences the result of something: ,"However, close monitoring and a quick response seem to be the key factors in achieving success.",https://dictionary.cambridge.org/media/english/us_pron/f/fac/facto/factor.mp3
feature,noun,a typical quality or an important part of something: ,"We shall refer to flows which exhibit this feature as being 'subcritical ', or as permitting disturbances under subcritical conditions.",https://dictionary.cambridge.org/media/english/us_pron/f/fea/featu/feature.mp3
focus,noun,"the main or central point of something, especially of attention or interest: ",The second part of the questionnaire focused on current use of aspirin and knowledge about the reasons for its use.,https://dictionary.cambridge.org/media/english/us_pron/f/foc/focus/focus.mp3
framework,noun,a supporting structure around which something can be built,"Using this early conceptual framework, numerous layouts were planned and costed.",https://dictionary.cambridge.org/media/english/us_pron/u/usf/usfra/usfragm005.mp3
function,noun,the natural purpose (of something) or the duty (of a person): ,All plots are a function of local wavenumber.,https://dictionary.cambridge.org/media/english/us_pron/f/fun/funct/function.mp3
fundamental,adjective,"forming the base, from which everything else develops: ","In this way there are always fundamentals, but they may change.",https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus71/eus71948.mp3
furthermore,adverb,in addition; more importantly,"The house is beautiful. Furthermore, it's in a great location",
generate,verb,to cause something to exist: ,Matrices were generated to show how many text units were coded at each given 'node' to investigate any patterns of coding.,https://dictionary.cambridge.org/media/english/us_pron/g/gen/gener/generate.mp3
grant,noun,an amount of money given especially by the government to a person or organization for a special…,State and local governments also have considerable regulatory authority over granting siting permits necessary for the operation of many types of facilities.,https://dictionary.cambridge.org/media/english/us_pron/g/gra/grant/grant.mp3
hence,adverb,that is the reason or explanation for: ,"Hence, such an arrangement permits the handling of a group of pupils psychologically similar, who form a homogeneous social group.",https://dictionary.cambridge.org/media/english/us_pron/h/hen/hence/hence.mp3
hypothesis,noun,an idea or explanation for something that is based on known facts but has not yet been proved…,"As well, qualitative research is frequently used in psychology as a way of generating informed hypotheses for a given topic.",https://dictionary.cambridge.org/media/english/us_pron/h/hyp/hypot/hypothesis.mp3
identify,verb,to recognize someone or something and say or prove who or what that person or thing is: ,Imported tahini was rapidly identified as the source of infection.,https://dictionary.cambridge.org/media/english/us_pron/i/ide/ident/identify.mp3
illustrate,verb,"to draw pictures for a book, magazine, etc.: ",What follows is our selection of factors for each linguistic factor group; each is illustrated with an example.,https://dictionary.cambridge.org/media/english/us_pron/i/ill/illus/illustrate.mp3
impact,noun,the force or action of one object hitting another: ,The international author list includes most of the current key players in impact-related studies and the quality of the individual contributions is correspondingly high.,https://dictionary.cambridge.org/media/english/us_pron/i/imp/impac/impact.mp3
imply,verb,to communicate an idea or feeling without saying it directly: ,"Where these associations might be implied, it is the individual/social opposition that is the significant one, not the hunter-gatherer/farmer one.",https://dictionary.cambridge.org/media/english/us_pron/i/imp/imply/imply.mp3
indicate,verb,"to show, point, or make clear in another way: ",The solid lines indicate parasite differentiation and the dashed lines indicate modes of transmission.,https://dictionary.cambridge.org/media/english/us_pron/i/ind/indic/indicate.mp3
individual,noun,"a single person or thing, especially when compared to the group or set to which they belong:  2…",Let n be the number of host individuals that were exposed to a certain dose level in our experiment.,https://dictionary.cambridge.org/media/english/us_pron/i/ind/indiv/individual.mp3
initial,adjective,of or at the beginning: ,"Letters ""a"" and ""r"" appearing before authors' initials refer to target article and response, respectively.",https://dictionary.cambridge.org/media/english/us_pron/i/ini/initi/initial.mp3
instance,noun,"a particular situation, event, or fact, especially an example of something that happens…","For instance, we have situated these dynamics in motor plans for reaching.",https://dictionary.cambridge.org/media/english/us_pron/i/ins/insta/instance.mp3
integrate,verb,"to mix with and join society or a group of people, often changing to suit their way of life…",A cost of production analysis of conventional versus integrated versus organic apple productions systems.,https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus72/eus72462.mp3
internal,adjective,inside the body: ,"However, there are also qualitative and quantitative differences among the clitics stemming, in our view, from their different internal syntax.",https://dictionary.cambridge.org/media/english/us_pron/i/int/inter/internal.mp3
interpret,verb,to decide what the intended meaning of something is: ,Objects cannot be interpreted as focal ; hence they must move out.,https://dictionary.cambridge.org/media/english/us_pron/i/int/inter/interpret.mp3
invest,verb,"to put money, effort, time, etc. into something to make a profit or get an advantage: ",The users of the water invested the communal power with the duty of protecting them against usurpers' efforts to divert the water.,https://dictionary.cambridge.org/media/english/us_pron/i/inv/inves/invest.mp3
investigate,verb,"to examine a crime, problem, statement, etc. carefully, especially to discover the truth: ",The third approach uses planning effects on task performance to investigate how learners monitor their language.,https://dictionary.cambridge.org/media/english/us_pron/i/inv/inves/investigate.mp3
involve,verb,"If an activity, situation, etc. involves something, that thing is a part of the activity, etc…","For schizophrenia patients, treatment plans from the onset of illness should involve health promotion.",https://dictionary.cambridge.org/media/english/us_pron/i/inv/invol/involve.mp3
issue,noun,a subject or problem that people are thinking and talking about: ,Claims for missing issues should be made immediately on receipt of the subsequent issue.,https://dictionary.cambridge.org/media/english/us_pron/i/iss/issue/issue.mp3
justify,verb,to give or to be a good reason for: ,He does not propose a theorem with justifying propositions in its train.,https://dictionary.cambridge.org/media/english/us_pron/j/jus/justi/justify.mp3
label,noun,a piece of paper or other material that gives you information about the object it is attached…,"In addition, gustatory nerve fibers did not appear to be labeled.",https://dictionary.cambridge.org/media/english/us_pron/l/lab/label/label.mp3
labor,noun,US spelling of labour,We also make the assumption that there is unemployment and therefore no extra cost for recruiting labor.,https://dictionary.cambridge.org/media/english/us_pron/l/lab/labor/labor.mp3
layer,noun,"a level of material, such as a type of rock or gas, that is different from the material above or…",Other sections expose calcareous shales with thin limestone layers in the upper part of the member.,https://dictionary.cambridge.org/media/english/us_pron/l/lay/layer/layer.mp3
lecture,noun,"a formal talk on a serious subject given to a group of people, especially students: ",Two (one hour) lectures a week are used for teaching programming.,https://dictionary.cambridge.org/media/english/us_pron/l/lec/lectu/lecture.mp3
link,noun,"a connection between two people, things, or ideas: ","Our website also has external links to publicly available software, yeast galactose data and lung cancer data.",https://dictionary.cambridge.org/media/english/us_pron/l/lin/link_/link.mp3
maintain,verb,"to continue to have; to keep in existence, or not allow to become less: ","Tearless crying is about maintaining balance in the actual situation, to protect oneself and others by covering any observable emotions.",https://dictionary.cambridge.org/media/english/us_pron/m/mai/maint/maintain.mp3
major,adjective,"more important, bigger, or more serious than others of the same type: ",Major alterations to the text will be accepted only at the author's expense.,https://dictionary.cambridge.org/media/english/us_pron/m/maj/major/major.mp3
maximize,verb,"to make something as great in amount, size, or importance as possible: ","Each rule can have a set of associated parameters, and once the rules have been chosen, maximizing team performance involves solving a global optimization problem.",https://dictionary.cambridge.org/media/english/us_pron/m/max/maxim/maximize.mp3
mental,adjective,"relating to the mind, or involving the process of thinking: ",,https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus72/eus72966.mp3
method,noun,a particular way of doing something: ,It was designed to facilitate the combination of qualitative methods with statistical analysis.,https://dictionary.cambridge.org/media/english/us_pron/m/met/metho/method.mp3
minor,adjective,"having little importance, influence, or effect, especially when compared with other things of…",Their nonlinear interaction has only a minor influence on the qualitative features of the layer evolution.,https://dictionary.cambridge.org/media/english/us_pron/m/min/miner/miner.mp3
modify,verb,"to change something such as a plan, opinion, law, or way of behaviour slightly, usually to…",Their spatial patterns are significantly modified by the presence of the positron component.,https://dictionary.cambridge.org/media/english/us_pron/m/mod/modif/modify.mp3
monitor,noun,a person who has the job of watching or noticing particular things: ,Performance measures are key to monitoring progress in addressing improper payments.,https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus75/eus75838.mp3
negate,verb,to cause something to have no effect: ,"In other words, this analysis does not negate previous findings that opinion change and attitude stability vary by political sophistication.",https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus73/eus73183.mp3
network,noun,a large system consisting of many similar parts that are connected together to allow movement or…,The artificial networks presented here were not selected from a large number of attempts.,https://dictionary.cambridge.org/media/english/us_pron/n/net/netwo/network.mp3
nevertheless,adverb,despite what has just been said or referred to: ,"Nevertheless, the lover's lament of separation authentically figures the condition of ordinary existence.",https://dictionary.cambridge.org/media/english/us_pron/n/nev/never/nevertheless.mp3
notion,noun,a belief or idea: ,"Moreover, these histories fit better our notions of political argument than ""true"" history and thus are clearly biased in favor of the local patron community.",https://dictionary.cambridge.org/media/english/us_pron/n/not/notio/notion.mp3
objective,noun,something that you plan to do or achieve: ,"The objective reality in which an individual lives and acts is not ""purely natural"" but includes products of former human social activity.",https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus75/eus75096.mp3
obtain,verb,"to get something, especially by asking for it, buying it, working for it, or producing it from…",Other examples can be obtained by using the above preservation properties.,https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus75/eus75131.mp3
obvious,adjective,"easy to see, recognize, or understand: ",The operator can control the virtual robot in real-time and get quick feedback without obvious time-delay.,https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus75/eus75134.mp3
occupy,verb,"to fill, exist in, or use a place or period of time: ","In occupying and exploiting the mysterious space of the sacred in our contemporary 'secular' world, the nation revitalises the profane.",https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus75/eus75143.mp3
occur,verb,(especially of accidents and other unexpected events) to happen: ,Thirty-five such fractions were delivered to compensate for the 62 gaps occurring and thus 56% were compensated for overall.,https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus75/eus75144.mp3
overall,adverb,"in general rather than in particular, or including all the people or things in a particular…",This noninvasive technique permits the rapid assessment of the overall retinal integrity for a large number of flies.,https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus73/eus73358.mp3
participate,verb,to take part in or become involved in an activity: ,Economic returns from these projects may provide a strong incentive for such countries to participate.,https://dictionary.cambridge.org/media/english/us_pron/p/par/parti/participate.mp3
perceive,verb,"to come to an opinion about something, or have a belief about something: ",Ineffective management and unco-ordinated information systems were perceived to be the main obstacles for both groups.,https://dictionary.cambridge.org/media/english/us_pron/p/per/perce/perceive.mp3
period,noun,a length of time: ,"In the first period, the results were encouraging.",https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus73/eus73504.mp3
perspective,noun,a particular way of considering something: ,Attempting to write a global geographical perspective on organic agriculture is a major challenge.,https://dictionary.cambridge.org/media/english/us_pron/p/per/persp/perspective.mp3
phase,noun,any stage in a series of events or in a process of development: ,They were permitted one repetition of each of the training phases if this 75% criterion was not initially met.,https://dictionary.cambridge.org/media/english/us_pron/f/faz/faze_/faze.mp3
philosophy,noun,the use of reason in understanding such things as the nature of the real world and existence…,He surveys the sacred meals against a carefully assembled background of ordinary meal-taking and the general philosophy of food in each region.,https://dictionary.cambridge.org/media/english/us_pron/p/phi/philo/philosophy.mp3
physical,adjective,relating to the body: ,,https://dictionary.cambridge.org/media/english/us_pron/p/phy/physi/physical.mp3
policy,noun,a set of ideas or a plan of what to do in particular situations that has been agreed to…,"As a supplementary policy, the government permitted pricing based on costs for new health services, mainly high-technology services.",https://dictionary.cambridge.org/media/english/us_pron/p/pol/polic/policy.mp3
potential,adjective,possible when the necessary conditions exist: ,The value of this volume at present is clear in that it permits geoscientists to view the potential of three-dimensional seismic data.,https://dictionary.cambridge.org/media/english/us_pron/p/pot/poten/potential.mp3
precise,adjective,exact and accurate: ,"About their methods, however, we can be much more precise.",https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus75/eus75878.mp3
predict,verb,"to say that an event or action will happen in the future, especially as a result of knowledge or…","This is as might be expected physically, presumably foretelling the onset of a higher mode as predicted by the airfoil model.",https://dictionary.cambridge.org/media/english/us_pron/p/pre/predi/predict.mp3
previous,adjective,happening or existing before something or someone else: ,,https://dictionary.cambridge.org/media/english/us_pron/p/pre/previ/previous.mp3
primary,adjective,more important than anything else; main: ,In the end it seems that primaries draw candidates outwards in ways that most general elections cannot entirely reverse.,https://dictionary.cambridge.org/media/english/us_pron/p/pri/prima/primary.mp3
principle,noun,a basic idea or rule that explains or controls how something happens or works: ,"Alternatively, one can propose a general licensing principle that permits such violations at that level.",https://dictionary.cambridge.org/media/english/us_pron/p/pri/princ/principal.mp3
prior,adjective,"existing or happening before something else, or before a particular time: ","Both uniform and normal priors are used in the model, respectively, to see the effect of priors on posterior inference.",https://dictionary.cambridge.org/media/english/us_pron/p/pri/prior/prior.mp3
proceed,verb,to continue as planned: ,"In effect, though, these are no more than three different periodicities: different aspects of history are proceeding at different speeds.",https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus73/eus73722.mp3
project,noun,a piece of planned work or an activity that is finished over a period of time and intended to…,"Particularly this latter section is informed by ' ' behind-the-scenes stories, ' ' based on copious interviews with key players in any given project.",https://dictionary.cambridge.org/media/english/us_pron/p/pro/proje/project_01_00.mp3
proportion,noun,the number or amount of a group or part of something when compared to the whole: ,"First, variability at 1 ; 8 was typically more evident in proportions of tokens than in proportions of types.",https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus73/eus73747.mp3
pursue,verb,"to follow someone or something, usually to try to catch him, her, or it: ",Activities that have large starting capital requirements are pursued by relatively few people but yield lucrative returns.,https://dictionary.cambridge.org/media/english/us_pron/p/pur/pursu/pursue.mp3
range,noun,a set of similar things: ,"This permits the determination of the allowable fuel for the aircraft, which ultimately yields the range capability.",https://dictionary.cambridge.org/media/english/us_pron/r/ran/range/range.mp3
react,verb,to act in a particular way as a direct result of something else: ,A comparative analysis of current literature in fact suggests that men reacted to the danger and disempowerment of modern combat in remarkably similar ways.,https://dictionary.cambridge.org/media/english/us_pron/r/rea/react/react.mp3
region,noun,"a particular area or part of the world, or any of the large official areas into which a country…","In addition, the user can combine time regions to form a time tree that can be used for multi-resolution browsing and annotation.",https://dictionary.cambridge.org/media/english/us_pron/r/reg/regio/region.mp3
register,verb,"to put information, especially your name, into an official list or record: ",,https://dictionary.cambridge.org/media/english/us_pron/r/reg/regis/register.mp3
regulate,verb,"to control something, especially by making it work in a particular way: ",The mysticism of religion that is already supposed to transcend logic and rules is a theoretical equal to regulated political incommensurability.,https://dictionary.cambridge.org/media/english/us_pron/r/reg/regul/regulate.mp3
reject,verb,"to refuse to accept, use, or believe something or someone: ",The authors are not alone in rejecting the notion that there are internal pictorial representations.,https://dictionary.cambridge.org/media/english/us_pron/r/rej/rejec/reject_01_00.mp3
relevant,adjective,connected with what is happening or being discussed: ,"Section 1 reviews the relevant literature on retirement plans and saving, education and saving, and behavioral economics.",https://dictionary.cambridge.org/media/english/us_pron/r/rel/relev/relevant.mp3
rely,verb,"to need a particular thing or the help and support of someone or something in order to continue, to work correctly, or to succeed",The success of this project relies on everyone making an effort,
remove,verb,"to take something or someone away from somewhere, or off something: ","If it does, then this modifier is considered an object and the symbol is removed from the list.",https://dictionary.cambridge.org/media/english/us_pron/r/rem/remov/remove.mp3
require,verb,to need something or make something necessary: ,But its birth required a leap of the imagination.,https://dictionary.cambridge.org/media/english/us_pron/r/req/requi/require.mp3
research,noun,"a detailed study of a subject, especially in order to discover (new) information or reach a…",It is theory tested by many individual research findings that permits the generation of predictions about program outcomes under different conditions.,https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus73/eus73955.mp3
reside,verb,"to live, have your home, or stay in a place: ","In short, the age differences reside in the particulars of the environment and timing demands of the tasks.",https://dictionary.cambridge.org/media/english/us_pron/r/res/resid/reside.mp3
resolve,verb,to solve or end a problem or difficulty: ,We are going to focus on resolving the issue.,https://dictionary.cambridge.org/media/english/us_pron/r/res/resol/resolve.mp3
resource,noun,"a useful or valuable possession or quality of a country, organization, or person: ","The second sector comprises resource harvesting, which is undertaken with constant returns to scale to labour and to the resource stock.",https://dictionary.cambridge.org/media/english/us_pron/r/res/resou/resource.mp3
respond,verb,to say or do something as a reaction to something that has been said or done: ,The change trials tested the participants' ability to respond appropriately to relevant phonetic differences between tokens and distinguish stops drawn from two different categories.,https://dictionary.cambridge.org/media/english/us_pron/r/res/respo/respond.mp3
restrict,verb,"to limit the movements or actions of someone, or to limit something and reduce its size or…",Structures on the edges of plazas had restricted access.,https://dictionary.cambridge.org/media/english/us_pron/r/res/restr/restrict.mp3
retain,verb,to keep or continue to have something: ,Authors should retain a copy of the original manuscript.,https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus75/eus75919.mp3
role,noun,"the position or purpose that someone or something has in a situation, organization, society, or…",Their roles in friendships changed too in that they needed to determine how their friends were responding to their illness and adapt to that.,https://dictionary.cambridge.org/media/english/us_pron/r/rol/role_/role.mp3
scheme,noun,"an organized plan for doing something, especially something dishonest or illegal that will bring…",,https://dictionary.cambridge.org/media/english/us_pron/s/sch/schem/scheme.mp3
section,noun,one of the parts that something is divided into: ,This section is meant to be a mutual effort.,https://dictionary.cambridge.org/media/english/us_pron/s/sec/secti/section.mp3
secure,adjective,"positioned or fixed firmly and correctly and therefore not likely to move, fall, or break:  2…",One of the greatest challenges to global public health is securing treatments for neglected diseases and those endemic to poor nations.,https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus75/eus75931.mp3
seek,verb,"to try to find or get something, especially something that is not a physical object: ","The mathematics of physics should be explored, but new mathematical, statistical, and qualitative methodologies should also be sought.",https://dictionary.cambridge.org/media/english/us_pron/s/see/seek_/seek.mp3
select,verb,"to choose a small number of things, or to choose by making careful decisions: ",A study area and a control area were selected.,https://dictionary.cambridge.org/media/english/us_pron/s/sel/selec/select.mp3
shift,verb,to (cause something or someone to) move or change from one position or direction to another…,"In that way, those who occupy veto points may be bought out, thereby allowing policy to be shifted onto a new path.",https://dictionary.cambridge.org/media/english/us_pron/s/shi/shift/shift.mp3
site,noun,"a place where something is, was, or will be built, or where something happened, is happening, or…","These magdalenian sites show clear variations in spatial, quantitative and qualitative aspects of the find material.",https://dictionary.cambridge.org/media/english/us_pron/c/cit/cite_/cite.mp3
source,noun,"the place something comes from or starts at, or the cause of something: ","Therefore, we investigate the effect of pension fund governance on the two sources of value creation separately.",https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus74/eus74322.mp3
specify,verb,to explain or describe something clearly and exactly: ,"For example, table 5 of ideal wave properties permits only the depth to be specified and tabulates other properties against wavelength.",https://dictionary.cambridge.org/media/english/us_pron/s/spe/speci/specify.mp3
stable,adjective,firmly fixed or not likely to move or change: ,The photograph looks south: through the gateway can be seen the second court which presumably held the stables.,https://dictionary.cambridge.org/media/english/us_pron/s/sta/stabl/stable.mp3
status,noun,"an accepted or official position, especially in a social group: ",Such a general type-label makes no distinction among the textual and ontological statuses of what might be radically different fictional entities.,https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus74/eus74371.mp3
strategy,noun,"a detailed plan for achieving success in situations such as war, politics, business, industry…",Each of the three players is now free to believe that the other two players are correlating their strategy choices.,https://dictionary.cambridge.org/media/english/us_pron/s/str/strat/strategy.mp3
stress,noun,"great worry caused by a difficult situation, or something that causes this condition: ","Rather, he stressed that the more people, the greater the energy for socialist revolution and construction.",https://dictionary.cambridge.org/media/english/us_pron/s/str/stres/stress.mp3
subsequent,adjective,happening after something else: ,Claims for missing issues should be made immediately on receipt of the subsequent issue.,https://dictionary.cambridge.org/media/english/us_pron/e/eus/eus75/eus75953.mp3
substitute,verb,to use something or someone instead of another thing or person: ,"As a consequence, these variables can in fact be substituted out, although for reasons of clarity we shall not do so here.",https://dictionary.cambridge.org/media/english/us_pron/s/sub/subst/substitute.mp3
sufficient,adjective,enough for a particular purpose: ,"An original paper should not include an extensive review of the literature, but only sufficient references to indicate the purpose and relevance of the investigation.",https://dictionary.cambridge.org/media/english/us_pron/s/suf/suffi/sufficient.mp3
sustain,verb,to cause or allow something to continue for a period of time: ,Legumes for sustaining soil fertility in lowland rice.,https://dictionary.cambridge.org/media/english/us_pron/s/sus/susta/sustain.mp3
theory,noun,a formal statement of the rules on which a subject of study is based or of ideas that are…,"Does the autistic child have a ""theory of mind""?",https://dictionary.cambridge.org/media/english/us_pron/t/the/theor/theory.mp3
tradition,noun,"a belief, principle, or way of acting that people in a particular society or group have…","The zero plural avoids the problem of having two sibilants in quick succession at the end of the words, and coincidentally maintains the classical tradition.",https://dictionary.cambridge.org/media/english/us_pron/t/tra/tradi/tradition.mp3
transfer,verb,"to move someone or something from one place, vehicle, person, or group to another: ","Bilinguals produced both semantic and syntactic transfers in their two languages, suggesting that semantic and syntactic representations influence each other across languages during bilingual production.",https://dictionary.cambridge.org/media/english/us_pron/t/tra/trans/transfer.mp3
trend,noun,a general development or change in a situation or in the way that people are behaving: ,"The intention of a quick perusal of such a table is to observe trends, not attempt to produce statistical evidence.",https://dictionary.cambridge.org/media/english/us_pron/t/tre/trend/trend.mp3
